종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
060310,3S,KOSDAQ,기계·장비,"2,930",-75,-2.50,"142,212,361,060"
054620,APS,KOSDAQ,금융,"7,790",330,4.42,"158,870,981,590"
265520,AP시스템,KOSDAQ,반도체,"20,950",0,0.00,"320,145,769,950"
211270,AP위성,KOSDAQ,통신장비,"16,600",130,0.79,"250,366,246,400"
139050,BF랩스,KOSDAQ,컴퓨터서비스,"6,240","-1,210",-16.24,"53,941,998,240"
126600,BGF에코머티리얼즈,KOSDAQ,화학,"4,400",25,0.57,"237,746,410,000"
013720,CBI,KOSDAQ,운송장비·부품,"1,705",97,6.03,"73,032,290,540"
083790,CG인바이츠,KOSDAQ,기타서비스,"3,780",-120,-3.08,"290,660,007,960"
035760,CJ ENM,KOSDAQ,방송서비스,"75,800",700,0.93,"1,662,229,873,200"
311690,CJ 바이오사이언스,KOSDAQ,기타서비스,"15,050",160,1.07,"137,143,155,100"
051500,CJ프레시웨이,KOSDAQ,유통,"23,850",-100,-0.42,"283,137,326,100"
058820,CMG제약,KOSDAQ,제약,"2,235",15,0.68,"310,424,165,340"
023460,CNH,KOSDAQ,금융,"1,790",-4,-0.22,"66,588,000,000"
056730,CNT85,KOSDAQ,건설,"1,184",-9,-0.75,"87,747,644,224"
065770,CS,KOSDAQ,통신장비,"1,246",12,0.97,"24,186,267,980"
083660,CSA 코스믹,KOSDAQ,화학,"1,251",13,1.05,"76,620,223,431"
456440,DB금융스팩11호,KOSDAQ,금융,"2,255",0,0.00,"11,985,325,000"
060900,DGP,KOSDAQ,전기·가스·수도,"1,626",-30,-1.81,"41,069,880,354"
290120,DH오토리드,KOSDAQ,운송장비·부품,"3,190",-60,-1.85,"49,493,290,220"
025440,DH오토웨어,KOSDAQ,일반전기전자,"2,160",180,9.09,"66,487,443,840"
068790,DMS,KOSDAQ,기계·장비,"6,990",0,0.00,"171,765,696,390"
241520,DSC인베스트먼트,KOSDAQ,금융,"4,085",45,1.11,"113,609,581,255"
180400,DXVX,KOSDAQ,기타서비스,"4,200",5,0.12,"126,921,614,400"
245620,EDGC,KOSDAQ,기타서비스,480,23,5.03,"66,477,096,480"
037370,EG,KOSDAQ,화학,"9,500",-50,-0.52,"81,937,234,000"
050120,ES큐브,KOSDAQ,유통,"2,690",10,0.37,"36,487,391,340"
214270,FSN,KOSDAQ,출판·매체복제,"2,615",65,2.55,"86,949,960,745"
130500,GH신소재,KOSDAQ,섬유·의류,"2,730",30,1.11,"39,707,991,960"
900290,GRT,KOSDAQ,금융,"3,360",-20,-0.59,"226,380,000,000"
083450,GST,KOSDAQ,반도체,"50,000",-800,-1.57,"465,887,250,000"
297890,HB솔루션,KOSDAQ,기계·장비,"5,130",20,0.39,"375,076,451,340"
440290,HB인베스트먼트,KOSDAQ,금융,"3,025",-55,-1.79,"81,272,705,250"
078150,HB테크놀러지,KOSDAQ,기계·장비,"2,565",200,8.46,"237,816,324,540"
195940,HK이노엔,KOSDAQ,제약,"37,200",-250,-0.67,"1,053,871,945,200"
028300,HLB,KOSDAQ,제약,"111,800",-900,-0.80,"14,624,786,183,800"
278650,HLB바이오스텝,KOSDAQ,기타서비스,"3,965",-55,-1.37,"338,801,276,385"
067630,HLB생명과학,KOSDAQ,제약,"19,930","-1,270",-5.99,"2,115,060,348,290"
024850,HLB이노베이션,KOSDAQ,반도체,"4,625",295,6.81,"327,643,584,000"
047920,HLB제약,KOSDAQ,기타서비스,"39,700",0,0.00,"1,256,775,833,400"
115450,HLB테라퓨틱스,KOSDAQ,유통,"11,800","1,310",12.49,"889,348,559,600"
046210,HLB파나진,KOSDAQ,의료·정밀기기,"4,760",-40,-0.83,"195,181,548,520"
403870,HPSP,KOSDAQ,반도체,"52,700",100,0.19,"4,370,629,388,800"
036640,HRS,KOSDAQ,화학,"5,580",20,0.36,"91,259,784,000"
439730,IBKS제20호스팩,KOSDAQ,금융,"2,545",-15,-0.59,"10,968,950,000"
442770,IBKS제21호스팩,KOSDAQ,금융,"2,465",30,1.23,"10,377,650,000"
448760,IBKS제22호스팩,KOSDAQ,금융,"2,435",-5,-0.20,"10,787,050,000"
467930,IBKS제23호스팩,KOSDAQ,금융,"2,200",-10,-0.45,"9,306,000,000"
469480,IBKS제24호스팩,KOSDAQ,금융,"2,190",0,0.00,"9,263,700,000"
095340,ISC,KOSDAQ,반도체,"87,300",-400,-0.46,"1,850,503,163,400"
099520,ITX-AI,KOSDAQ,통신장비,"1,284",0,0.00,"58,141,862,016"
950170,JTC,KOSDAQ,유통,"4,575",105,2.35,"230,070,450,225"
067290,JW신약,KOSDAQ,제약,"2,100",30,1.45,"106,767,154,200"
035900,JYP Ent.,KOSDAQ,오락·문화,"67,500",-100,-0.15,"2,398,443,210,000"
318000,KBG,KOSDAQ,화학,"8,430",-100,-1.17,"73,680,079,890"
024840,KBI메탈,KOSDAQ,금속,"1,346",-6,-0.44,"45,700,109,418"
024120,KB오토시스,KOSDAQ,운송장비·부품,"4,390",15,0.34,"50,485,000,000"
455250,KB제25호스팩,KOSDAQ,금융,"2,180",-10,-0.46,"9,384,900,000"
458320,KB제26호스팩,KOSDAQ,금융,"2,355",10,0.43,"12,964,275,000"
464680,KB제27호스팩,KOSDAQ,금융,"1,999",1,0.05,"25,797,095,000"
021320,KCC건설,KOSDAQ,건설,"4,655",35,0.76,"99,617,000,000"
036670,KCI,KOSDAQ,화학,"7,730",0,0.00,"87,117,100,000"
044180,KD,KOSDAQ,건설,730,51,7.51,"19,503,993,270"
151860,KG ETS,KOSDAQ,화학,"9,650",-180,-1.83,"347,400,000,000"
046440,KG모빌리언스,KOSDAQ,소프트웨어,"5,300",30,0.57,"205,775,510,400"
035600,KG이니시스,KOSDAQ,소프트웨어,"11,850",-30,-0.25,"330,667,542,900"
226360,KH 건설,KOSDAQ,건설,319,0,0.00,"60,627,181,021"
111870,KH 전자,KOSDAQ,일반전기전자,"2,970",0,0.00,"41,572,037,430"
060720,KH바텍,KOSDAQ,IT부품,"15,190",390,2.64,"359,660,343,980"
058400,KNN,KOSDAQ,방송서비스,915,12,1.33,"121,173,193,800"
122450,KX,KOSDAQ,방송서비스,"4,700",-50,-1.05,"213,079,030,800"
052900,KX하이텍,KOSDAQ,반도체,"1,463",-37,-2.47,"80,622,297,371"
376190,LB루셈,KOSDAQ,반도체,"7,490",270,3.74,"184,254,000,000"
061970,LB세미콘,KOSDAQ,반도체,"8,210",580,7.60,"359,471,500,320"
309960,LB인베스트먼트,KOSDAQ,금융,"4,305",-115,-2.60,"99,950,213,895"
060370,LS마린솔루션,KOSDAQ,건설,"9,430",50,0.53,"244,597,527,760"
417200,LS머트리얼즈,KOSDAQ,일반전기전자,"24,250",-350,-1.42,"1,640,576,980,750"
086960,MDS테크,KOSDAQ,소프트웨어,"1,856",-16,-0.85,"162,545,762,816"
038340,MIT,KOSDAQ,일반전기전자,"1,283",0,0.00,"33,979,354,334"
160550,NEW,KOSDAQ,오락·문화,"3,660",0,0.00,"102,136,347,960"
053290,NE능률,KOSDAQ,출판·매체복제,"4,725",-505,-9.66,"78,086,800,575"
060250,NHN KCP,KOSDAQ,소프트웨어,"13,350",40,0.30,"536,144,156,850"
104200,NHN벅스,KOSDAQ,디지털컨텐츠,"5,050",75,1.51,"74,879,127,500"
222160,NPX,KOSDAQ,기계·장비,"8,040",0,0.00,"79,551,289,560"
024940,PN풍년,KOSDAQ,유통,"4,800",70,1.48,"48,000,000,000"
218410,RFHIC,KOSDAQ,일반전기전자,"16,110",190,1.19,"426,664,360,620"
327260,RF머트리얼즈,KOSDAQ,기타제조,"9,190",40,0.44,"77,501,392,890"
091340,S&K폴리텍,KOSDAQ,IT부품,"2,550",20,0.79,"29,844,488,550"
419530,SAMG엔터,KOSDAQ,오락·문화,"14,200",-420,-2.87,"121,991,206,000"
019550,SBI인베스트먼트,KOSDAQ,금융,912,-5,-0.55,"147,804,716,400"
950110,SBI핀테크솔루션즈,KOSDAQ,출판·매체복제,"4,010",-20,-0.50,"96,450,685,400"
151910,SBW생명과학,KOSDAQ,IT부품,640,0,0.00,"120,557,466,880"
036120,SCI평가정보,KOSDAQ,기타서비스,"2,800",-40,-1.41,"99,400,000,000"
099220,SDN,KOSDAQ,유통,"1,085",15,1.40,"60,946,414,935"
036540,SFA반도체,KOSDAQ,반도체,"5,820",-100,-1.69,"957,158,963,460"
255220,SG,KOSDAQ,비금속,"2,430",200,8.97,"132,685,941,240"
040610,SG&G,KOSDAQ,운송,"1,701",3,0.18,"57,982,320,396"
049470,SGA,KOSDAQ,소프트웨어,417,-33,-7.33,"24,545,557,833"
184230,SGA솔루션즈,KOSDAQ,소프트웨어,718,-3,-0.42,"43,009,283,462"
016250,SGC이테크건설,KOSDAQ,건설,"16,700",90,0.54,"54,167,869,500"
