종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4825","-70","-1.43","218344562175"
"006840","AK홀딩스","KOSPI","기타금융","15700","300","1.95","207986707700"
"027410","BGF","KOSPI","기타금융","3940","80","2.07","377124156540"
"282330","BGF리테일","KOSPI","유통업","118600","700","0.59","2049871251600"
"138930","BNK금융지주","KOSPI","기타금융","8300","-60","-0.72","2673334035400"
"001460","BYC","KOSPI","섬유의복","494000","1000","0.20","308559810000"
"001465","BYC우","KOSPI","섬유의복","180300","200","0.11","38833915500"
"001040","CJ","KOSPI","기타금융","120000","800","0.67","3501239760000"
"079160","CJ CGV","KOSPI","서비스업","5700","90","1.60","697861721700"
"00104K","CJ4우(전환)","KOSPI","기타금융","88000","-100","-0.11","371933056000"
"000120","CJ대한통운","KOSPI","운수창고업","118200","-1800","-1.50","2696419060800"
"011150","CJ씨푸드","KOSPI","음식료품","2715","0","0.00","97552048695"
"011155","CJ씨푸드1우","KOSPI","음식료품","20050","70","0.35","4010000000"
"001045","CJ우","KOSPI","기타금융","61800","700","1.15","139681781400"
"097950","CJ제일제당","KOSPI","음식료품","289500","1000","0.35","4358186847000"
"097955","CJ제일제당 우","KOSPI","음식료품","139300","2000","1.46","184911416900"
"000480","CR홀딩스","KOSPI","비금속광물","6170","40","0.65","289314323300"
"000590","CS홀딩스","KOSPI","기타금융","65700","200","0.31","75849467400"
"012030","DB","KOSPI","서비스업","1562","-13","-0.83","314233683346"
"016610","DB금융투자","KOSPI","증권","4545","0","0.00","192918838005"
"005830","DB손해보험","KOSPI","보험","103600","500","0.48","7334880000000"
"000990","DB하이텍","KOSPI","전기전자","45450","-50","-0.11","2017915824600"
"139130","DGB금융지주","KOSPI","기타금융","8950","-20","-0.22","1513855205350"
"001530","DI동일","KOSPI","유통업","26850","150","0.56","664232564550"
"000210","DL","KOSPI","화학","53000","400","0.76","1110661852000"
"000215","DL우","KOSPI","화학","26000","200","0.78","43838990000"
"375500","DL이앤씨","KOSPI","건설업","36750","350","0.96","1421990645250"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","24500","50","0.20","51742799500"
"37550K","DL이앤씨우","KOSPI","건설업","18770","-40","-0.21","39677621450"
"007340","DN오토모티브","KOSPI","전기전자","84100","-200","-0.24","840495820500"
"004840","DRB동일","KOSPI","화학","6280","-110","-1.72","125160400000"
"155660","DSR","KOSPI","철강금속","4270","-15","-0.35","68320000000"
"069730","DSR제강","KOSPI","철강금속","4180","15","0.36","60192000000"
"017860","DS단석","KOSPI","화학","150500","-8000","-5.05","882141302000"
"017940","E1","KOSPI","유통업","68000","-700","-1.02","466480000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4400","145","3.41","937591600000"
"383220","F&F","KOSPI","섬유의복","71200","3000","4.40","2727463740000"
"007700","F&F홀딩스","KOSPI","기타금융","15660","140","0.90","612530987220"
"114090","GKL","KOSPI","서비스업","12260","210","1.74","758350514200"
"078930","GS","KOSPI","기타금융","50200","-1500","-2.90","4664351975600"
"006360","GS건설","KOSPI","건설업","15190","-20","-0.13","1299982833100"
"001250","GS글로벌","KOSPI","유통업","2760","25","0.91","227793188640"
"007070","GS리테일","KOSPI","유통업","20750","-250","-1.19","2172896881500"
"078935","GS우","KOSPI","기타금융","39550","400","1.02","70589868300"
"012630","HDC","KOSPI","기타금융","8400","130","1.57","501830456400"
"039570","HDC랩스","KOSPI","건설업","8160","90","1.12","211814024160"
"089470","HDC현대EP","KOSPI","화학","4650","-35","-0.75","148335000000"
"294870","HDC현대산업개발","KOSPI","건설업","18500","220","1.20","1219285605000"
"009540","HD한국조선해양","KOSPI","기타금융","125900","-2000","-1.56","8910335304400"
"267250","HD현대","KOSPI","기타금융","68900","-1200","-1.71","5442623556500"
"267270","HD현대건설기계","KOSPI","기계","57300","-300","-0.52","1128855438900"
"322000","HD현대에너지솔루션","KOSPI","전기전자","22700","0","0.00","254240000000"
"042670","HD현대인프라코어","KOSPI","기계","8480","-90","-1.05","1692637281440"
"267260","HD현대일렉트릭","KOSPI","전기전자","166500","3900","2.40","6001847977500"
"329180","HD현대중공업","KOSPI","운수장비","125100","-1000","-0.79","11105516811600"
"097230","HJ중공업","KOSPI","건설업","3385","30","0.89","281883441185"
"014790","HL D&I","KOSPI","건설업","2025","25","1.25","76663667025"
"003580","HLB글로벌","KOSPI","광업","6730","-210","-3.03","299640893720"
"204320","HL만도","KOSPI","운수장비","32900","-50","-0.15","1544889248000"
"060980","HL홀딩스","KOSPI","기타금융","35850","0","0.00","364573348500"
"011200","HMM","KOSPI","운수창고업","15560","-330","-2.08","10721454557760"
"035000","HS애드","KOSPI","서비스업","6230","-10","-0.16","103214958070"
"003560","IHQ","KOSPI","서비스업","10760","0","0.00","58906362440"
"175330","JB금융지주","KOSPI","기타금융","13400","-190","-1.40","2614114853200"
"234080","JW생명과학","KOSPI","의약품","12580","-20","-0.16","199198689320"
"001060","JW중외제약","KOSPI","의약품","32800","-200","-0.61","763778504000"
"001067","JW중외제약2우B","KOSPI","의약품","60900","0","0.00","12787355700"
"001065","JW중외제약우","KOSPI","의약품","30500","200","0.66","10429505500"
"096760","JW홀딩스","KOSPI","기타금융","3180","-50","-1.55","235081315560"
"105560","KB금융","KOSPI","기타금융","74900","-1200","-1.58","30222979292800"
"432320","KB스타리츠","KOSPI","서비스업","4200","60","1.45","425939997000"
"002380","KCC","KOSPI","화학","286000","-3000","-1.04","2541530706000"
"344820","KCC글라스","KOSPI","비금속광물","41250","200","0.49","658783620000"
"009070","KCTC","KOSPI","운수창고업","3925","-25","-0.63","117750000000"
"009440","KC그린홀딩스","KOSPI","기타금융","2745","30","1.10","61584020100"
"119650","KC코트렐","KOSPI","기계","1436","11","0.77","73143277480"
"092220","KEC","KOSPI","전기전자","1480","-12","-0.80","297129448680"
"003620","KG모빌리티","KOSPI","운수장비","7170","-10","-0.14","1340474692080"
"016380","KG스틸","KOSPI","철강금속","7090","20","0.28","709063079730"
"001390","KG케미칼","KOSPI","화학","5890","10","0.17","403282645600"
"033180","KH 필룩스","KOSPI","전기전자","6630","0","0.00","120578742570"
"015590","KIB플러그에너지","KOSPI","기계","490","64","15.02","116120956560"
"001940","KISCO홀딩스","KOSPI","철강금속","24900","-1300","-4.96","402791862000"
"025000","KPX케미칼","KOSPI","화학","46100","150","0.33","223124000000"
"092230","KPX홀딩스","KOSPI","화학","58000","200","0.35","245029468000"
"000040","KR모터스","KOSPI","운수장비","1090","-20","-1.80","31754826120"
"044450","KSS해운","KOSPI","운수창고업","8300","-40","-0.48","191612804000"
"030200","KT","KOSPI","통신업","38750","400","1.04","9992104450000"
"033780","KT&G","KOSPI","기타제조업","92500","200","0.22","12054830972500"
"058850","KTcs","KOSPI","서비스업","3665","-35","-0.95","156440525000"
"058860","KTis","KOSPI","서비스업","2965","20","0.68","103187930000"
"093050","LF","KOSPI","섬유의복","14760","330","2.29","431582400000"
"003550","LG","KOSPI","기타금융","90400","-900","-0.99","14220009767200"
"034220","LG디스플레이","KOSPI","전기전자","10750","-460","-4.10","3846518775000"
"051900","LG생활건강","KOSPI","화학","381500","5000","1.33","5958342155500"
"051905","LG생활건강우","KOSPI","화학","167700","700","0.42","352119186900"
"373220","LG에너지솔루션","KOSPI","전기전자","413500","0","0.00","96759000000000"
"003555","LG우","KOSPI","기타금융","65700","400","0.61","198520434000"
"032640","LG유플러스","KOSPI","통신업","10020","10","0.10","4374845837220"
"011070","LG이노텍","KOSPI","전기전자","192400","-1500","-0.77","4553551386800"
"066570","LG전자","KOSPI","전기전자","99400","200","0.20","16266592711600"
"066575","LG전자우","KOSPI","전기전자","46200","1000","2.21","793992830400"
"037560","LG헬로비전","KOSPI","서비스업","3510","50","1.45","271838496150"
"051910","LG화학","KOSPI","화학","449500","10500","2.39","31731258178500"
"051915","LG화학우","KOSPI","화학","303000","1000","0.33","2329706400000"
"079550","LIG넥스원","KOSPI","기계","167300","2600","1.58","3680600000000"
"006260","LS","KOSPI","기타금융","110600","-400","-0.36","3561320000000"
"010120","LS ELECTRIC","KOSPI","전기전자","92800","200","0.22","2784000000000"
"000680","LS네트웍스","KOSPI","유통업","4565","-120","-2.56","359735768040"
"229640","LS에코에너지","KOSPI","기타금융","18160","-190","-1.04","556147802640"
"108320","LX세미콘","KOSPI","전기전자","78700","-800","-1.01","1280000410000"
"001120","LX인터내셔널","KOSPI","유통업","26250","200","0.77","1017450000000"
"108670","LX하우시스","KOSPI","화학","40600","900","2.27","364087402000"
"108675","LX하우시스우","KOSPI","화학","21050","250","1.20","21730546500"
"383800","LX홀딩스","KOSPI","기타금융","7010","10","0.14","534727636900"
"38380K","LX홀딩스1우","KOSPI","기타금융","9120","-30","-0.33","13363399200"
"023150","MH에탄올","KOSPI","음식료품","6360","0","0.00","46927425360"
"035420","NAVER","KOSPI","서비스업","188900","4500","2.44","30678983406600"
"181710","NHN","KOSPI","서비스업","25650","50","0.20","866101054950"
